,0
0,San Diego
1,Washington 
2,Orlando
3,Chicago
4,Austin
5,Dallas-Ft.Worth
6,San Antonio
7,Los Angeles
8,Miami
9,Atlanta
10,Baltimore
11,New Orleans
12,Milwaukee
13,Honolulu
14,Salt Lake City
15,Phoenix
16,San Francisco
17,Seattle
18,Las Vegas
19,Orange County
20,Toronto
21,Boston
22,Houston
23,Jacksonville
24,New York City
25,Sacramento
26,Denver
27,San Jose
28,Palm Springs
29,Hartford
30,Tampa
31,Philadelphia
32,Newark
33,Nashville
34,Savannah
35,Detroit
36,Richmond
37,Raleigh-Durham
38,Minneapolis
39,Dover
40,Albuquerque
41,Tunica
42,Louisville
43,St. Louis
44,Wichita
45,Hilton Head
46,Naples - Ft. Myers
47,Cincinnati
48,Reno
49,Oakland
50,Oklahoma City
51,Montreal
52,Columbus
53,Augusta
54,Charlotte
55,San Juan
56,Cleveland
57,Ft. Lauderdale
58,Albany
59,Omaha
60,Des Moines
61,Long Island
62,Calgary
63,Colorado Springs
64,Norfolk - Virginia Beach
65,Myrtle Beach
66,Sarasota
67,Buffalo
68,Monterey-Pebble Beach
69,Charleston
70,Indianapolis
71,Pittsburgh
72,West Palm Beach
73,New Haven
74,Tulsa
